temperature,air_density,radiation_surface
8.214,1.256,43.743
9.371,1.255,215.517
11.459,1.247,396.509
14.075,1.236,542.797
16.465,1.225,636.369
18.002,1.218,670.445
18.77,1.214,641.456
18.938,1.211,553.109
19.053,1.21,413.744
19.199,1.208,240.834
16.644,1.21,65.504
14.693,1.214,0.002
13.767,1.217,0
13.125,1.218,0
12.495,1.219,0
11.867,1.221,0
11.314,1.224,0
10.78,1.227,0
10.23,1.231,0
9.782,1.234,0
9.4,1.236,0
9.054,1.236,0
8.761,1.236,0
8.652,1.236,0
9.1,1.236,46.252
11.518,1.236,220.158
13.548,1.233,399.123
14.882,1.229,543.487
15.555,1.225,637.695
16.031,1.223,674.562
16.146,1.221,648.767
15.937,1.22,563.657
15.319,1.222,427.551
14.317,1.225,252.896
12.387,1.229,71.366
10.385,1.234,0.012
10.154,1.239,0
9.811,1.241,0
9.821,1.241,0
10.151,1.24,0
10.361,1.239,0
9.813,1.238,0
9.645,1.237,0
9.755,1.237,0
10.031,1.235,0
10.352,1.234,0
10.659,1.233,0
10.816,1.231,0
11.155,1.231,9.407
11.828,1.23,35.231
12.305,1.229,67.1
12.808,1.227,98.834
13.356,1.225,193.73
13.736,1.224,316.017
13.722,1.225,366.886
13.564,1.226,424.579
13.38,1.227,386.394
12.846,1.228,232.32
11.895,1.231,63.315
10.587,1.235,0.039
9.75,1.237,0
9.447,1.239,0
9.153,1.24,0
9.083,1.24,0
9.335,1.24,0
9.609,1.24,0
9.717,1.239,0
9.699,1.238,0
9.767,1.238,0
9.767,1.238,0
9.677,1.238,0
9.567,1.239,0
9.829,1.24,26.175
10.861,1.241,114.775
11.762,1.239,240.117
12.617,1.236,364.913
12.957,1.234,361.948
13.227,1.233,461.585
13.233,1.232,484.21
13.031,1.232,435.425
12.716,1.233,334.88
12.3,1.233,230.416
11.3,1.235,64.054
9.888,1.236,0.078
10.064,1.237,0
10.202,1.236,0
10.317,1.235,0
10.39,1.234,0
10.737,1.233,0
11.196,1.233,0
11.594,1.232,0
11.735,1.231,0
11.729,1.23,0
11.57,1.231,0
11.236,1.231,0
10.803,1.232,0
10.602,1.233,35.737
11.722,1.234,138.794
12.365,1.233,255.389
13.31,1.231,422.207
14.261,1.227,575.435
14.86,1.225,640.103
15.041,1.223,594.116
14.944,1.221,496.834
14.599,1.222,358.979
13.952,1.223,192.597
12.577,1.225,51.16
11.316,1.227,0.146
11.266,1.229,0
11.539,1.229,0
11.815,1.23,0
11.622,1.23,0
10.877,1.23,0
9.992,1.231,0
9.336,1.233,0
9.03,1.234,0
8.817,1.234,0
8.744,1.235,0
8.624,1.234,0
8.187,1.235,0
8.31,1.236,43.5
9.891,1.238,194.777
11.284,1.234,338.27
13.276,1.225,457.595
14.848,1.217,507.665
15.393,1.213,533.93
15.353,1.212,512.312
14.979,1.212,443.522
14.517,1.212,364.606
13.699,1.214,198.919
12.122,1.216,56.465
10.624,1.218,0.277
10.396,1.219,0
10.984,1.22,0
11.523,1.22,0
11.748,1.22,0
11.831,1.219,0
11.889,1.217,0
12.05,1.215,0
12.326,1.213,0
12.64,1.21,0
13.017,1.208,0
13.36,1.206,0
13.379,1.207,0
12.885,1.211,15.022
12.524,1.215,147.138
12.868,1.217,333.344
13.464,1.216,491.271
13.744,1.216,545.142
13.622,1.216,471.129
13.265,1.217,362.891
12.657,1.218,185.522
12.328,1.218,129.572
12.307,1.218,94.707
12.163,1.217,29.824
11.922,1.218,0.153
11.868,1.218,0
11.702,1.219,0
11.525,1.219,0
11.493,1.22,0
11.543,1.219,0
11.682,1.218,0
11.848,1.217,0
12.014,1.216,0
12.274,1.214,0
12.613,1.211,0
12.938,1.209,0
13.274,1.208,0
13.44,1.208,9.286
13.565,1.208,49.153
13.632,1.21,131.071
13.738,1.211,232.052
13.939,1.211,300.153
14.382,1.21,461.524
14.667,1.208,542.131
14.689,1.206,533.773
14.296,1.206,344.823
13.544,1.206,79.878
13.261,1.205,9.831
13.546,1.202,0.076
13.856,1.199,0
13.978,1.198,0
13.955,1.198,0
13.689,1.199,0
13.736,1.198,0
13.789,1.197,0
13.502,1.2,0
12.976,1.203,0
12.246,1.208,0
11.647,1.212,0
11.373,1.215,0
11.173,1.217,0.001
10.996,1.22,40.095
11.261,1.222,181.429
11.883,1.222,348.949
12.384,1.222,504.557
12.55,1.223,530.475
12.682,1.224,570.935
12.751,1.224,561.056
12.779,1.224,535.539
12.518,1.225,386.93
12.021,1.226,216.398
11.149,1.227,61.009
10.202,1.228,0.508
10.397,1.228,0
10.632,1.227,0
10.808,1.226,0
10.96,1.226,0
11.227,1.226,0
11.28,1.227,0
11.291,1.226,0
11.432,1.225,0
11.645,1.223,0
11.941,1.222,0
12.311,1.22,0
12.618,1.218,0
13.068,1.215,10.439
13.697,1.213,64.483
14.186,1.211,115.977
14.401,1.211,138.046
14.44,1.212,124.578
14.407,1.213,110.807
14.374,1.213,106.028
14.391,1.213,113.613
14.426,1.213,109.052
14.335,1.214,73.855
14.076,1.214,27.733
13.742,1.215,0.307
13.696,1.216,0
13.753,1.217,0
13.792,1.217,0
13.844,1.217,0
13.851,1.217,0
13.841,1.218,0
13.701,1.218,0
13.415,1.219,0
12.959,1.22,0
12.513,1.221,0
12.574,1.221,0
12.858,1.221,0.031
13.167,1.22,42.764
13.86,1.219,181.434
14.637,1.216,324.138
15.387,1.214,427.947
15.926,1.211,434.951
15.931,1.21,360.14
15.74,1.21,316.774
16.202,1.208,477.137
15.443,1.209,149.687
14.861,1.211,107.358
14.514,1.212,37.399
14.262,1.212,0.58
14.147,1.213,0
14.077,1.213,0
13.976,1.213,0
13.964,1.212,0
13.958,1.211,0
13.924,1.21,0
13.85,1.21,0
13.775,1.209,0
13.212,1.212,0
12.22,1.218,0
11.891,1.219,0
11.747,1.219,0.111
11.707,1.221,70.991
12.218,1.221,224.183
12.702,1.221,346.611
13.121,1.221,506.701
13.436,1.221,585.955
13.591,1.22,606.289
13.676,1.22,624.454
13.57,1.221,570.18
13.28,1.222,440.996
12.821,1.223,270.843
12.085,1.225,82.702
11.193,1.228,2.029
10.683,1.229,0
10.809,1.229,0
11,1.229,0
11.081,1.229,0
11.186,1.229,0
11.381,1.228,0
11.593,1.228,0
11.202,1.23,0
10.505,1.234,0
10.131,1.236,0
10.063,1.237,0
10.007,1.238,0.149
10.063,1.24,48.169
10.559,1.24,141.778
11.37,1.238,299.881
12.126,1.237,464.939
12.64,1.235,551.849
12.929,1.234,573.885
13.175,1.233,618.142
13.255,1.232,611.239
13,1.232,472.943
12.531,1.233,296.18
11.768,1.235,108.337
10.593,1.239,2.683
10.039,1.242,0
9.572,1.244,0
9.192,1.246,0
8.716,1.248,0
8.307,1.249,0
8.097,1.25,0
7.771,1.251,0
7.521,1.251,0
7.338,1.252,0
7.251,1.251,0
7.171,1.251,0
7.02,1.251,0.383
7.864,1.251,83.231
10.053,1.248,266.601
12.052,1.241,450.368
13.542,1.236,599.55
14.625,1.232,700.616
15.4,1.228,738.996
15.653,1.225,713.924
15.436,1.224,628.547
14.939,1.225,489.878
14.086,1.227,311.218
12.595,1.232,118.417
10.494,1.236,3.541
9.792,1.238,0
9.349,1.24,0
9.231,1.241,0
9.493,1.241,0
9.676,1.241,0
9.824,1.24,0
10.076,1.24,0
10.116,1.239,0
10.195,1.239,0
10.322,1.238,0
10.314,1.238,0
10.312,1.237,0.132
10.567,1.237,23.59
11.243,1.237,82.725
11.795,1.236,114.628
11.971,1.236,114.525
12.329,1.235,167.248
12.719,1.234,183.066
12.793,1.232,138.411
12.739,1.231,108.499
12.826,1.23,101.937
12.938,1.229,75.355
12.875,1.23,32.41
12.56,1.231,1.578
12.126,1.233,0
11.677,1.236,0
11.14,1.238,0
10.503,1.239,0
10.224,1.24,0
10.193,1.24,0
10.068,1.241,0
9.864,1.242,0
9.493,1.243,0
9.074,1.244,0
8.602,1.245,0
8.228,1.247,0.827
9.089,1.248,84.735
10.502,1.248,232.893
12.028,1.243,389.788
13.419,1.238,553.307
14.324,1.235,690.239
14.953,1.232,734.999
15.187,1.229,697.885
15.143,1.228,610.844
14.853,1.228,484.207
14.169,1.229,308.233
12.954,1.232,116.867
11.234,1.235,4.531
10.585,1.237,0
10.271,1.239,0
10.14,1.24,0
9.786,1.241,0
9.667,1.241,0
9.513,1.241,0
9.324,1.242,0
9.132,1.242,0
8.85,1.242,0
8.536,1.243,0
8.335,1.243,0
8.186,1.243,1.034
8.959,1.243,79.715
10.971,1.242,261.606
13.106,1.235,454.028
14.88,1.228,608.83
15.835,1.224,705.585
16.407,1.22,741.926
16.646,1.218,714.556
16.642,1.216,627.895
16.389,1.216,490.961
15.8,1.217,315.09
14.573,1.22,125.922
13,1.224,5.65
12.541,1.226,0
12.09,1.228,0
11.645,1.228,0
11.409,1.228,0
11.325,1.227,0
11.296,1.226,0
11.192,1.225,0
10.938,1.224,0
10.46,1.225,0
9.874,1.226,0
9.519,1.228,0
9.208,1.231,1.628
10.353,1.233,101.162
12.005,1.232,288.502
14.162,1.225,468.747
16.748,1.214,611.992
18.402,1.206,705.801
19.044,1.202,737.546
19.086,1.2,689.166
18.682,1.2,578.124
18.082,1.201,462.73
17.158,1.203,312.539
15.714,1.208,127.026
13.911,1.214,6.405
13.361,1.218,0
12.911,1.22,0
12.378,1.221,0
11.942,1.221,0
11.687,1.221,0
11.528,1.221,0
11.411,1.222,0
11.332,1.223,0
11.255,1.224,0
11.012,1.225,0
10.722,1.227,0
10.472,1.228,1.91
11.18,1.229,97.473
12.618,1.225,284.182
14.557,1.218,467.004
15.932,1.212,606.93
16.776,1.207,693.727
17.147,1.205,721.184
17.135,1.204,698.68
16.879,1.204,614.243
16.482,1.205,475.39
15.779,1.207,295.524
14.657,1.211,110.091
13.434,1.216,5.592
12.833,1.219,0
12.418,1.222,0
12.147,1.223,0
11.898,1.225,0
11.606,1.226,0
11.289,1.227,0
11.022,1.227,0
10.778,1.227,0
10.493,1.228,0
10.016,1.23,0
9.672,1.232,0
9.487,1.234,2.259
10.19,1.235,89.704
11.61,1.231,263.062
13.452,1.224,424.848
14.855,1.218,553.562
15.862,1.213,627.198
16.596,1.209,668.022
17.065,1.205,668.613
17.201,1.203,593.931
16.953,1.202,449.163
16.238,1.204,294.071
15.061,1.209,133.141
13.685,1.214,8.5
12.943,1.219,0
12.381,1.222,0
11.699,1.224,0
11.165,1.225,0
10.715,1.227,0
10.351,1.228,0
10.011,1.229,0
9.703,1.231,0
9.45,1.232,0
9.162,1.235,0
8.857,1.237,0
8.593,1.24,2.966
9.505,1.239,97.813
10.965,1.235,313.487
13.298,1.226,500.736
15.334,1.217,649.166
17.127,1.209,745.305
18.28,1.203,781.981
18.776,1.199,755.125
18.784,1.197,667.752
18.29,1.197,526.915
17.075,1.2,346.588
15.385,1.206,149.454
13.371,1.212,10.335
12.432,1.217,0
11.634,1.22,0
10.984,1.221,0
10.603,1.222,0
10.593,1.222,0
10.669,1.222,0
10.619,1.223,0
10.32,1.223,0
9.588,1.224,0
8.746,1.225,0
8.495,1.226,0
8.466,1.228,3.596
9.952,1.228,97.65
11.308,1.226,188.064
12.461,1.223,322.957
13.007,1.22,325.864
13.102,1.22,332.399
12.565,1.222,264.36
11.439,1.226,199.421
10.927,1.23,321.763
11.002,1.23,412.297
10.669,1.231,323.197
9.938,1.233,139.395
8.982,1.236,9.638
8.449,1.239,0
8.134,1.241,0
7.925,1.242,0
7.73,1.243,0
7.568,1.244,0
7.44,1.245,0
7.363,1.246,0
7.267,1.248,0
7.225,1.248,0
7.091,1.249,0
6.972,1.25,0
6.902,1.252,2.571
7.086,1.252,70.151
7.851,1.25,261.546
9.277,1.245,466.686
10.838,1.239,628.967
11.978,1.233,723.428
12.756,1.229,752.87
13.24,1.226,720.44
13.462,1.223,634.136
13.525,1.221,499.356
13.305,1.221,329.849
12.592,1.223,146.113
11.503,1.227,12.031
10.722,1.232,0
10.032,1.237,0
9.242,1.241,0
8.753,1.244,0
8.379,1.245,0
7.79,1.247,0
7.345,1.247,0
7.365,1.248,0
7.301,1.248,0
6.952,1.248,0
6.786,1.248,0
6.714,1.248,5.121
8.25,1.247,124.169
10.253,1.241,314.866
12.469,1.232,493.376
14.229,1.224,623.855
15.402,1.218,722.143
16.182,1.214,764.502
16.699,1.21,731.564
16.99,1.207,632.148
16.99,1.206,482.037
16.736,1.206,311.143
15.643,1.207,138.864
13.957,1.209,12.176
12.983,1.211,0
12.269,1.214,0
11.738,1.216,0
11.44,1.219,0
11.23,1.221,0
11.122,1.224,0
11.079,1.228,0
10.658,1.231,0
10.309,1.234,0
10.084,1.236,0
9.929,1.237,0
9.979,1.238,5.092
10.676,1.237,110.427
12.233,1.231,285.42
14.307,1.222,450.452
16.002,1.214,581.666
17.285,1.208,667.752
18.158,1.203,651.358
18.781,1.2,619.381
19.058,1.198,533.109
18.929,1.197,402.215
18.452,1.197,245.4
16.771,1.198,97.288
15.14,1.199,9.369
14.118,1.201,0
13.614,1.204,0
13.214,1.206,0
12.87,1.207,0
12.576,1.208,0
12.253,1.209,0
12.015,1.21,0
11.882,1.211,0
11.742,1.212,0
11.699,1.213,0
11.714,1.215,0
11.544,1.217,4.585
12.169,1.219,79.877
13.313,1.219,223.945
14.769,1.214,382.086
16.27,1.207,517.502
17.251,1.203,608.956
17.951,1.2,645.273
18.32,1.198,621.828
18.256,1.197,538.248
17.673,1.197,398.87
16.444,1.2,234.197
14.828,1.206,81.756
13.447,1.212,7.355
12.706,1.216,0
12.367,1.217,0
12.051,1.217,0
11.818,1.217,0
11.656,1.217,0
11.514,1.217,0
11.401,1.217,0
11.356,1.216,0
11.339,1.216,0
11.292,1.216,0
11.15,1.216,0
11.015,1.217,1.928
11.209,1.218,27.856
11.856,1.218,75.619
13.184,1.215,136.39
13.988,1.212,183.959
13.564,1.212,205.92
13.229,1.213,183.879
13.169,1.213,185.286
13.213,1.212,179.442
13.194,1.212,171.042
12.972,1.212,130.064
12.341,1.213,42.788
11.734,1.215,3.006
11.423,1.217,0
11.061,1.219,0
10.78,1.221,0
10.529,1.222,0
10.292,1.223,0
10.14,1.223,0
10.09,1.222,0
10.104,1.221,0
10.062,1.221,0
10.084,1.22,0
10.154,1.22,0
10.097,1.22,0.893
10.177,1.221,26.674
10.493,1.221,116.349
11.103,1.22,248.271
12.165,1.217,399.026
13.376,1.213,589.115
14.396,1.209,711.684
14.893,1.206,669.12
15.102,1.204,610.91
14.847,1.204,466.232
13.933,1.206,228.043
12.885,1.21,81.757
11.705,1.214,8.331
11.1,1.217,0
10.716,1.22,0
10.606,1.22,0
10.615,1.22,0
10.654,1.219,0
10.721,1.219,0
10.777,1.219,0
10.819,1.218,0
10.753,1.218,0
10.652,1.218,0
10.529,1.219,0
10.272,1.219,5.6
10.85,1.22,98.521
12.974,1.217,272.76
14.315,1.211,452.003
15.226,1.208,599.272
16.165,1.204,697.924
16.948,1.201,724.228
17.149,1.2,655.401
16.472,1.199,438.281
15.848,1.201,355.178
15.211,1.203,240.221
14.307,1.206,114.052
12.909,1.21,14.203
11.994,1.213,0
11.597,1.215,0
11.483,1.216,0
11.609,1.216,0
11.561,1.216,0
11.239,1.216,0
10.654,1.216,0
10.042,1.216,0
9.839,1.217,0
9.672,1.219,0
9.385,1.223,0
9.062,1.227,9.407
9.585,1.231,127.201
10.865,1.227,321.048
13.249,1.218,505.815
15.117,1.21,653.476
16.23,1.204,749.674
17.011,1.2,796.454
17.507,1.197,768.701
17.612,1.196,676.579
17.319,1.195,527.083
16.693,1.196,341.424
15.466,1.2,158.524
13.518,1.203,19.971
12.68,1.205,0
12.359,1.207,0
12.142,1.207,0
11.895,1.208,0
11.461,1.209,0
10.918,1.211,0
10.649,1.214,0
10.481,1.218,0
10.227,1.222,0
9.715,1.225,0
9.391,1.227,0
9.164,1.23,12.377
9.952,1.231,150.541
11.828,1.225,348.134
14.35,1.214,531.032
16.15,1.206,677.28
17.289,1.201,771.856
18.012,1.198,809.083
18.359,1.196,780.483
18.404,1.194,689.131
18.127,1.193,549.865
17.582,1.194,371.023
16.67,1.195,179.717
14.529,1.198,24.861
13.319,1.201,0
12.676,1.205,0
12.224,1.207,0
11.878,1.21,0
11.557,1.211,0
11.384,1.212,0
11.425,1.213,0
11.519,1.214,0
11.549,1.215,0
11.479,1.216,0
11.232,1.217,0
10.935,1.219,13.603
11.807,1.22,151.68
13.593,1.218,345.295
15.318,1.212,531.362
16.654,1.207,679.734
17.195,1.204,774.462
17.298,1.203,809.198
17.115,1.203,780.44
16.69,1.204,696.26
16.059,1.206,553.889
15.277,1.208,382.998
14.184,1.212,191.247
12.534,1.218,28.283
11.31,1.222,0
10.725,1.224,0
10.401,1.224,0
10.099,1.224,0
9.854,1.224,0
9.71,1.224,0
9.589,1.224,0
9.503,1.224,0
9.469,1.224,0
9.487,1.224,0
9.404,1.225,0
9.341,1.226,11.602
10.375,1.227,120.334
11.502,1.225,322.926
12.885,1.221,545.141
13.977,1.217,703.419
14.679,1.214,801.836
14.996,1.212,847.785
14.996,1.211,819.142
14.756,1.211,729.44
14.3,1.211,583.394
13.616,1.212,401.373
12.579,1.215,200.664
10.88,1.218,31.255
9.719,1.22,0
9.393,1.221,0
8.967,1.222,0
8.828,1.223,0
8.741,1.224,0
8.187,1.226,0
7.499,1.228,0
7.035,1.231,0
6.843,1.234,0
6.411,1.237,0
6.002,1.239,0
5.838,1.242,17.749
6.926,1.241,171.364
8.613,1.236,375.777
10.512,1.228,564.398
12.214,1.221,713.432
13.564,1.216,809.456
14.561,1.211,847.759
15.209,1.207,817.872
15.67,1.204,727.881
15.84,1.202,583.968
15.544,1.202,397.529
14.857,1.203,194.65
12.644,1.206,30.914
11.422,1.209,0
10.982,1.212,0
10.822,1.214,0
10.401,1.215,0
9.884,1.217,0
9.526,1.219,0
9.429,1.22,0
9.337,1.222,0
9.116,1.224,0
8.846,1.227,0
8.535,1.229,0
8.408,1.231,12.647
9.547,1.233,116.647
10.779,1.232,281.865
12.559,1.226,477.162
14.121,1.22,650.162
15.108,1.215,767.309
15.885,1.212,823.86
16.534,1.209,806.753
16.907,1.207,724.676
16.707,1.206,586.665
15.838,1.208,406.93
14.41,1.212,205.686
12.226,1.217,34.501
10.976,1.222,0
10.63,1.226,0
10.037,1.228,0
9.569,1.228,0
9.419,1.227,0
9.331,1.227,0
9.129,1.226,0
8.91,1.226,0
8.711,1.226,0
8.541,1.226,0
8.41,1.227,0
8.431,1.228,20.4
10.442,1.228,166.012
12.212,1.226,333.749
14.372,1.218,514.914
16.01,1.211,635.671
16.974,1.207,731.383
17.324,1.205,704.001
17.394,1.204,641.705
17.174,1.203,553.551
16.516,1.204,387.757
15.726,1.205,252.482
14.647,1.208,103.137
13.327,1.211,15.257
12.688,1.212,0
12.634,1.212,0
12.856,1.211,0
12.911,1.21,0
12.576,1.21,0
12.333,1.211,0
12.293,1.215,0
11.813,1.219,0
10.897,1.224,0
10.055,1.229,0
9.526,1.231,0
9.144,1.233,6.702
8.924,1.235,49.977
8.889,1.237,119.2
9.14,1.237,218.22
9.732,1.235,315.043
10.268,1.232,333.076
10.771,1.229,345.66
11.241,1.226,345.02
11.455,1.223,304.719
11.523,1.221,260.215
11.42,1.22,184.167
10.987,1.22,89.567
10.155,1.221,16.202
9.553,1.224,0
9.273,1.227,0
8.841,1.23,0
8.309,1.233,0
7.736,1.236,0
7.198,1.238,0
6.668,1.24,0
6.203,1.241,0
5.87,1.242,0
5.696,1.242,0
5.574,1.243,0
5.547,1.243,16.09
6.118,1.241,121.787
7.145,1.237,257.926
8.333,1.232,427.216
9.512,1.226,551.337
10.451,1.222,556.61
10.835,1.218,429.817
11.159,1.216,374.328
11.472,1.214,333.488
11.469,1.213,263.03
11.112,1.213,180.058
10.51,1.216,95.791
9.543,1.219,16.32
8.927,1.223,0
8.575,1.226,0
8.38,1.228,0
8.227,1.229,0
7.892,1.23,0
7.553,1.23,0
7.4,1.231,0
7.358,1.233,0
7.305,1.235,0
7.292,1.236,0
7.126,1.237,0
7.037,1.238,15.571
7.52,1.237,114.486
8.782,1.232,273.172
10.587,1.226,421.229
11.976,1.221,513.358
12.514,1.218,490.011
12.859,1.216,474.651
13.285,1.214,465.296
13.743,1.211,468.302
13.95,1.209,386.136
13.903,1.208,306.702
13.368,1.209,172.116
11.649,1.211,36.296
10.427,1.213,0
9.786,1.216,0
9.516,1.218,0
9.445,1.219,0
9.326,1.221,0
9.034,1.222,0
8.65,1.224,0
8.284,1.225,0
7.875,1.227,0
7.458,1.228,0
6.975,1.23,0
6.766,1.232,28.941
8.689,1.233,195.196
10.451,1.23,396.146
13.384,1.219,579.137
15.199,1.212,722.959
16.386,1.207,812.43
17.128,1.204,843.067
17.412,1.202,799.55
17.311,1.201,699.472
16.825,1.2,525.027
16.085,1.201,348.694
15.081,1.205,184.735
13.615,1.208,38.9
12.49,1.21,0
12.182,1.212,0
12.254,1.213,0
12.246,1.214,0
11.687,1.215,0
10.782,1.216,0
10.053,1.217,0
9.6,1.218,0
9.408,1.22,0
9.164,1.222,0
9.223,1.224,0
9.286,1.228,31.417
9.834,1.231,199.701
11.607,1.226,400.865
14.158,1.215,585.519
15.924,1.207,732.317
16.96,1.203,826.513
17.628,1.2,858.327
17.986,1.198,819.92
18.158,1.196,749.467
17.976,1.195,602.768
17.394,1.195,418.333
16.544,1.198,227.112
14.715,1.201,50.375
13.681,1.204,0
13.418,1.206,0
12.639,1.206,0
11.837,1.205,0
11.254,1.205,0
10.994,1.207,0
10.972,1.208,0
11.232,1.211,0
11.361,1.214,0
11.294,1.216,0
11.154,1.217,0
11.085,1.218,25.752
11.898,1.216,141.679
13.35,1.211,269.018
14.933,1.204,420.246
16.054,1.199,555.796
16.723,1.195,592.344
16.814,1.194,546.594
16.739,1.194,539.817
16.609,1.193,486.629
16.214,1.194,318.866
15.619,1.195,188.158
14.987,1.198,91.871
14.303,1.2,20.044
13.76,1.203,0
13.599,1.205,0
13.563,1.205,0
13.499,1.205,0
13.458,1.205,0
13.398,1.205,0
13.224,1.205,0
13.108,1.206,0
13.121,1.206,0
13.236,1.205,0
13.389,1.205,0
13.5,1.204,9.985
13.756,1.204,57.124
14.249,1.202,121.321
14.953,1.199,229.262
15.608,1.196,320.605
16.14,1.194,396.37
16.298,1.194,365.801
16.108,1.195,339.795
15.837,1.196,328.703
15.569,1.198,321.58
15.413,1.199,302.392
14.982,1.201,187.327
14.029,1.205,51.135
12.55,1.207,0
12.217,1.21,0
12.208,1.211,0
12.021,1.212,0
12.001,1.213,0
11.92,1.213,0
11.789,1.214,0
11.719,1.214,0
11.722,1.215,0
11.696,1.215,0
11.527,1.216,0
11.559,1.217,26.573
12.992,1.217,166.282
14.136,1.215,337.802
14.958,1.213,446.293
15.735,1.21,501.839
16.132,1.208,547.941
16.205,1.207,487.378
16.071,1.207,381.639
15.828,1.207,274.802
15.179,1.209,142.091
14.783,1.21,81.172
14.423,1.21,50.873
14.075,1.21,15.525
13.88,1.21,0
13.952,1.211,0
13.985,1.211,0
13.979,1.211,0
14.025,1.211,0
14.041,1.21,0
14.143,1.21,0
14.237,1.21,0
14.2,1.211,0
14.12,1.211,0
14.035,1.211,0
14.018,1.212,24.929
14.521,1.212,139.778
15.257,1.21,244.489
16.018,1.208,353.66
16.594,1.207,442.28
16.912,1.206,461.966
17.016,1.205,459.621
16.94,1.205,446.956
16.912,1.205,452.234
16.672,1.206,357.707
16.29,1.207,276.419
15.677,1.21,158.697
14.751,1.213,46.192
13.85,1.215,0.002
13.843,1.216,0
13.509,1.217,0
13.035,1.217,0
12.604,1.218,0
12.265,1.218,0
11.965,1.219,0
11.739,1.219,0
11.855,1.219,0
11.9,1.219,0
11.804,1.219,0
12.084,1.22,21.511
13.312,1.22,87.622
14.078,1.218,154.898
14.856,1.216,203.971
15.444,1.214,255.249
15.97,1.211,282.054
16.276,1.209,300.797
16.515,1.207,343.308
16.964,1.204,409.287
17.566,1.201,437.185
17.682,1.2,327.867
17.253,1.2,162.194
16.127,1.201,32.671
15.527,1.203,0.009
15.274,1.204,0
14.776,1.205,0
14.36,1.206,0
14.173,1.206,0
14.176,1.206,0
14.3,1.207,0
14.327,1.208,0
14.205,1.21,0
14.076,1.21,0
13.929,1.211,0
13.87,1.211,11.497
14.101,1.211,61.481
14.475,1.21,117.424
14.798,1.209,167.893
14.98,1.209,229.151
15.175,1.209,246.313
15.371,1.208,262.61
15.676,1.206,316.293
15.866,1.205,345.611
15.961,1.204,325.798
15.87,1.204,255.759
15.54,1.205,152.963
14.922,1.207,46.182
13.941,1.209,0.033
13.774,1.211,0
13.843,1.212,0
13.921,1.213,0
13.918,1.213,0
13.847,1.213,0
13.925,1.214,0
13.868,1.214,0
13.493,1.214,0
13.242,1.214,0
13.121,1.215,0
13.328,1.215,31.912
14.239,1.215,147.817
14.951,1.213,325.208
15.615,1.212,381.805
16.453,1.21,542.996
16.853,1.208,620.756
16.695,1.208,556.57
15.995,1.21,380.616
15.551,1.213,397.377
15.39,1.214,384.6
15.112,1.214,261.574
14.649,1.216,152.308
13.985,1.217,50.045
12.99,1.219,0.085
12.827,1.22,0
12.773,1.22,0
12.672,1.221,0
12.556,1.221,0
12.521,1.221,0
12.504,1.221,0
12.5,1.221,0
12.459,1.221,0
12.391,1.221,0
12.388,1.221,0
12.438,1.222,22.15
13.107,1.222,99.304
14.8,1.219,200.02
16.527,1.215,344.921
16.979,1.212,442.3
17.3,1.21,491.812
16.937,1.208,537.523
16.902,1.207,515.018
16.703,1.207,456.056
16.355,1.207,359.965
15.891,1.207,259.241
15.295,1.209,161.108
14.382,1.212,50.181
13.44,1.215,0.177
13.099,1.216,0
12.702,1.217,0
12.359,1.217,0
12.07,1.217,0
11.868,1.217,0
11.63,1.217,0
11.495,1.216,0
11.496,1.216,0
11.589,1.216,0
11.739,1.216,0
12.157,1.216,48.778
14.1,1.214,205.383
16.393,1.207,370.079
16.767,1.203,398.271
17.142,1.202,603.229
17.541,1.201,748.759
17.643,1.2,766.987
17.214,1.2,597.954
16.651,1.201,506.36
16.192,1.202,451.127
15.663,1.204,345.117
14.996,1.206,231.716
13.915,1.209,69.718
13.007,1.212,0.283
12.811,1.214,0
12.602,1.214,0
12.327,1.214,0
11.989,1.214,0
11.945,1.214,0
11.753,1.215,0
11.531,1.215,0
11.389,1.216,0
11.105,1.216,0
10.652,1.217,0
10.542,1.218,37.982
10.966,1.218,188.059
11.841,1.215,362.275
13.23,1.211,587.032
14.144,1.209,707.02
14.593,1.207,828.736
14.723,1.206,857.065
14.732,1.206,826.403
14.556,1.206,710.557
14.325,1.205,580.321
14.17,1.205,440.507
13.773,1.205,239.461
12.949,1.206,74.062
12.005,1.208,0.432
11.978,1.208,0
11.963,1.208,0
11.766,1.208,0
11.366,1.208,0
10.881,1.208,0
10.665,1.209,0
10.65,1.21,0
10.693,1.211,0
10.846,1.213,0
10.747,1.214,0
10.898,1.215,52.401
11.897,1.214,217.276
13.656,1.208,407.158
15.992,1.198,579.714
17.409,1.192,712.529
18.177,1.188,801.802
18.308,1.186,671.081
18.615,1.184,637.224
18.747,1.183,528.915
18.678,1.182,412.797
18.241,1.182,266.908
17.418,1.183,135.937
15.929,1.185,46.769
14.543,1.187,0.389
14.164,1.189,0
13.875,1.192,0
13.592,1.196,0
13.22,1.199,0
13.15,1.202,0
13.15,1.203,0
12.948,1.204,0
12.614,1.205,0
12.373,1.206,0
12.342,1.206,0.002
12.552,1.206,20.118
13.122,1.204,129.499
14.028,1.201,217.155
14.895,1.198,301.157
15.201,1.197,367.984
15.17,1.198,384.909
15.216,1.197,377.025
15.056,1.197,290.239
14.914,1.198,284.644
14.629,1.199,266.949
14.31,1.202,249.444
13.81,1.204,159.599
13.281,1.206,71.793
12.635,1.208,0.85
